category_id,hobby_id
2,1
2,2
7,2
2,3
2,4
2,5
7,5
2,6
2,7
2,8
5,8
2,9
2,10
3,10
2,11
2,12
7,12
2,13
2,14
2,15
8,15
2,16
8,16
2,17
2,18
2,19
2,20
2,21
2,22
2,23
2,24
2,25
2,26
2,27
2,28
2,29
2,30
7,30
2,31
2,32
7,32
2,33
7,33
2,34
2,35
2,36
3,36
2,37
2,38
2,39
2,40
2,41
2,42
2,43
7,43
2,44
2,45
2,46
2,47
2,48
2,49
2,50
2,51
2,52
2,53
2,54
8,54
2,55
2,56
2,57
2,58
2,59
2,60
3,60
2,61
7,61
2,62
2,63
8,63
2,64
2,65
2,66
2,67
2,68
7,68
2,69
2,70
2,71
2,72
2,73
2,74
2,75
2,76
2,77
7,77
2,78
2,79
2,80
2,81
7,81
2,82
3,82
2,83
6,83
2,84
6,84
2,85
2,86
8,86
2,87
2,88
2,89
2,90
2,91
2,92
2,93
2,94
2,95
7,95
2,96
2,97
2,98
2,99
8,99
2,100
7,100
2,101
2,102
2,103
2,104
2,105
2,106
2,107
3,107
7,107
2,108
2,109
2,110
2,111
2,112
2,113
2,114
2,115
2,116
2,117
2,118
2,119
2,120
2,121
2,122
2,123
2,124
2,125
2,126
7,126
2,127
2,128
2,129
2,130
7,130
2,131
7,131
2,132
2,133
2,134
2,135
2,136
2,137
2,138
2,139
2,140
2,141
2,142
2,143
2,144
7,144
2,145
2,146
7,146
2,147
2,148
2,149
2,150
7,150
2,151
2,152
2,153
7,153
2,154
2,155
2,156
2,157
2,158
2,159
2,160
2,161
2,162
3,162
7,162
2,163
2,164
2,165
2,166
5,167
5,168
5,169
5,170
5,171
5,172
5,173
5,174
5,175
5,176
5,177
5,178
5,179
5,180
5,181
5,182
5,183
5,184
5,185
5,186
5,187
5,188
5,189
5,190
5,191
5,192
1,192
5,193
5,194
5,195
5,196
5,197
5,198
5,199
5,200
5,201
5,202
5,203
5,204
4,205
4,206
4,207
4,208
4,209
4,210
4,211
4,212
4,213
4,214
4,215
4,216
4,217
4,218
4,219
4,220
4,221
4,222
4,223
4,224
4,225
4,226
4,227
4,228
4,229
4,230
4,231
4,232
4,233
4,234
4,235
4,236
4,237
4,238
4,239
4,240
4,241
4,242
4,243
4,244
4,245
4,246
4,247
4,248
4,249
6,250
6,251
6,252
6,253
6,254
6,255
6,256
6,257
6,258
6,259
6,260
3,261
3,262
3,263
3,264
3,265
3,266
3,267
3,268
3,269
3,270
3,271
3,272
3,273
3,274
3,275
3,276
3,277
3,278
3,279
3,280
3,281
3,282
3,283
3,284
3,285
3,286
3,287
3,288
3,289
3,290
3,291
3,292
3,293
3,294
3,295
3,296
3,297
3,298
3,299
3,300
3,301
3,302
3,303
3,304
3,305
3,306
3,307
3,308
3,309
3,310
3,311
3,312
3,313
7,313
3,314
3,315
3,316
3,317
7,318
7,319
7,320
7,321
7,322
7,323
7,324
7,325
7,326
7,327
7,328
7,329
7,330
7,331
7,332
7,333
7,334
7,335
7,336
7,337
7,338
7,339
7,340
7,341
7,342
7,343
7,344
7,345
7,346
7,347
7,348
7,349
7,350
7,351
7,352
7,353
7,354
7,355
7,356
7,357
7,358
7,359
7,360
7,361
7,362
7,363
7,364
1,365
1,366
1,367
1,368
1,369
1,370
1,371
1,372
8,373
8,374
8,375
8,376
8,377
8,378
8,379
8,380
8,381
8,382
8,383
